,Nom,Infos,Prix,Date
58,ASUS ROG Strix GeForce RTX 4090 24GB,24 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),2 399€95,2024-10-20
59,ASUS ROG Strix GeForce RTX 4090 BTF OC Edition 24GB,24 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),2 499€95,2024-10-20
60,ASUS ROG Strix GeForce RTX 4090 OC Edition 24GB,24 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),2 499€95,2024-10-20
61,ASUS TUF Gaming GeForce RTX 4070 Ti SUPER 16GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER,999€95,2024-10-20
62,ASUS TUF Gaming GeForce RTX 4070 Ti SUPER OC Bundle The Force,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER) + Sabre connecté LED RGB - lame 36 pouces,1 049€95,2024-10-20
63,ASUS TUF Gaming GeForce RTX 4080 SUPER 16 GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 259€95,2024-10-20
64,ASUS TUF Gaming GeForce RTX 4090 OC Edition 24GB,24 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),2 329€94,2024-10-20
65,ASUS TUF Gaming GeForce RTX 4090 OC OG Edition 24GB,24 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),2 249€95,2024-10-20
66,ASUS TUF Gaming Radeon RX 7900 XT OC Edition 20GB GDDR6,20 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 XT),899€95,2024-10-20
67,ASUS TUF Radeon RX 7700 XT O12G Gaming,12 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7700 XT),499€95,2024-10-20
68,Gainward GeForce RTX 3050 Pegasus 6G,6 Go GDDR6 - HDMI/DisplayPort/DVI - PCI Express (NVIDIA GeForce RTX 3050),199€95,2024-10-20
